k,inertia,silhouette,davies_bouldin,calinski_harabasz
2,7901.6438431889,0.4386466745399594,0.8713466078092178,5472.19327189667
3,5894.258978577669,0.348029539441439,1.0306601845374093,4575.377408581619
4,4618.91371977961,0.36618589226525694,0.9271303843979906,4382.462414972107
5,3890.8985952186135,0.34144386615573125,0.944435934390841,4150.501160547069
6,3398.4930437677685,0.3351204965190682,0.9493850816137034,3955.2430864411267
7,3052.582926666132,0.29661422698467177,0.9789366125494691,3769.4756256497312
8,2772.7626679281,0.29896655439061276,0.9792964429480193,3633.1804175368316
9,2512.7114443995506,0.3219172699068716,0.9128216324527322,3576.3132836879477
10,2308.746684692461,0.29870702996177406,0.9428203958653197,3511.418574150458
